event_id,event_cause,corridor,police_station,latitude,longitude,is_weekend,is_peak_hour,is_night_event,historical_corridor_risk,historical_police_station_risk,historical_cluster_risk,historical_cause_closure_rate,historical_corridor_closure_rate,target_priority,target_requires_road_closure,target_event_duration_minutes
FKID005760,others,Non-corridor,Ashok Nagar,12.9668967,77.610555,False,True,False,0.3822,0.0209,0.9036,0.0862,0.121,Low,0,203.83
FKID005762,accident,CBD 2,Cubbon Park,12.9819654,77.594477,False,True,False,0.0127,0.0259,0.9036,0.0301,0.0673,High,0,0.0
FKID005761,vehicle_breakdown,Non-corridor,Halasuru Gate,12.9623447,77.5945534,False,True,False,0.3822,0.0363,0.9036,0.0429,0.121,Low,0,0.0
FKID005197,water_logging,Non-corridor,Jayanagara,12.9217733,77.585775,False,True,False,0.3822,0.0218,0.9036,0.0852,0.121,Low,0,5800.01
FKID005763,pot_holes,IRR(Thanisandra road),Adugodi,12.9274491,77.6214064,False,False,False,0.0116,0.0147,0.9036,0.0242,0.0632,High,0,0.0
FKID005764,others,Tumkur Road,Malleshwaram,13.0139483,77.5658217,False,False,True,0.056,0.0098,0.9036,0.0862,0.0262,High,0,0.0
FKID005765,others,Mysore Road,Halasuru Gate,12.9647158,77.5839903,False,False,True,0.0909,0.0363,0.9036,0.0862,0.1104,High,0,8589.1
FKID005766,vehicle_breakdown,Non-corridor,Wilson Garden,12.9554704,77.5921748,False,False,True,0.3822,0.0128,0.9036,0.0429,0.121,Low,0,0.0
FKID005767,vehicle_breakdown,Non-corridor,V.V.Puram (C.Pet),12.9581237,77.5739029,False,False,True,0.3822,0.0045,0.9036,0.0429,0.121,Low,0,97.63
FKID004396,accident,Non-corridor,Jalahalli,13.09094844,77.53679215,False,False,True,0.3822,0.0241,0.0002,0.0301,0.121,Low,0,0.0
FKID004399,vehicle_breakdown,Bellary Road 1,Sadashivanagar,12.9988243,77.5843343,False,False,True,0.0746,0.037,0.9036,0.0429,0.0541,High,0,0.0
FKID005768,vehicle_breakdown,ORR West 1,Banashankari,12.9361824,77.5344466,False,False,True,0.0206,0.0125,0.9036,0.0429,0.0298,High,0,0.0
FKID005769,vehicle_breakdown,Tumkur Road,Chikkabanavara,13.04547,77.5073579,False,False,True,0.056,0.0144,0.9036,0.0429,0.0262,High,0,0.0
FKID005770,vehicle_breakdown,Mysore Road,Chamarajpet,12.9576503,77.55271,False,False,True,0.0909,0.0235,0.9036,0.0429,0.1104,High,0,29.37
FKID005771,others,Old Airport Road,Jeevanbheemanagar,12.9591732,77.6571489,False,False,True,0.0093,0.0155,0.9036,0.0862,0.0789,High,0,8503.66
FKID005198,vehicle_breakdown,ORR North 1,Hebbala,13.0432983,77.6079367,False,False,True,0.0336,0.0165,0.9036,0.0429,0.08,High,0,62.7
FKID005772,others,Tumkur Road,Sadashivanagar,13.0141225,77.5660043,False,False,True,0.056,0.037,0.9036,0.0862,0.0262,High,0,11599.25
FKID005773,others,Tumkur Road,Sadashivanagar,13.0141018,77.56591,False,False,True,0.056,0.037,0.9036,0.0862,0.0262,High,0,11597.79
FKID005774,vehicle_breakdown,Non-corridor,Wilson Garden,12.9446873,77.5972817,False,False,True,0.3822,0.0128,0.9036,0.0429,0.121,Low,0,0.0
FKID004401,road_conditions,Non-corridor,Whitefield,12.9400211,77.7473129,False,False,True,0.3822,0.0221,0.0088,0.1235,0.121,Low,0,152367.87
FKID005775,vehicle_breakdown,Mysore Road,Byatarayanapura,12.9533519,77.5421555,False,False,True,0.0909,0.0363,0.9036,0.0429,0.1104,High,0,59.16
FKID005777,accident,Non-corridor,Cubbon Park,12.9775236,77.5854059,False,False,True,0.3822,0.0259,0.9036,0.0301,0.121,Low,0,0.0
FKID005778,vehicle_breakdown,Tumkur Road,Peenya,13.0362686,77.5248329,False,False,True,0.056,0.0218,0.9036,0.0429,0.0262,High,0,18.2
FKID005199,vehicle_breakdown,Bellary Road 1,Kodigehalli,13.033575,77.58831,False,False,True,0.0746,0.0333,0.9036,0.0429,0.0541,High,0,82.52
FKID005779,vehicle_breakdown,Tumkur Road,Peenya,13.0414837,77.5167294,False,False,True,0.056,0.0218,0.9036,0.0429,0.0262,High,0,52.71
FKID005780,accident,Bellary Road 2,Kodigehalli,13.0658815,77.5931957,False,False,True,0.0464,0.0333,0.9036,0.0301,0.0317,High,0,0.0
FKID005781,vehicle_breakdown,Non-corridor,Jayanagara,12.9317517,77.5797388,False,False,False,0.3822,0.0218,0.9036,0.0429,0.121,Low,0,119.25
FKID005200,vehicle_breakdown,Hennur Main Road,Hennuru,13.07549,77.5469283,False,False,False,0.0117,0.0338,0.0029,0.0429,0.0625,High,0,75.17
FKID005782,debris,Non-corridor,Wilson Garden,12.9557349,77.58582,False,False,False,0.3822,0.0128,0.9036,0.1538,0.121,Low,0,26766.73
FKID004410,vehicle_breakdown,Non-corridor,Mahadevapura,12.9951755,77.7580241,False,False,False,0.3822,0.0147,0.0034,0.0429,0.121,Low,0,45.66
FKID004406,pot_holes,Bannerghata Road,Hulimavu,12.8661065,77.5919105,False,False,False,0.0256,0.0143,0.9036,0.0242,0.0335,High,0,154130.6
FKID005783,vehicle_breakdown,Non-corridor,Malleshwaram,13.008543,77.5717493,False,False,False,0.3822,0.0098,0.9036,0.0429,0.121,Low,0,0.0
FKID005784,vehicle_breakdown,Non-corridor,Malleshwaram,13.0084952,77.5717525,False,False,False,0.3822,0.0098,0.9036,0.0429,0.121,Low,0,0.0
FKID005785,vehicle_breakdown,Tumkur Road,Yeshwanthpura,13.0302535,77.5372617,False,False,False,0.056,0.0343,0.9036,0.0429,0.0262,High,0,0.0
FKID005786,vehicle_breakdown,Non-corridor,Electronic City,12.8407422,77.6761962,False,True,False,0.3822,0.0152,0.9036,0.0429,0.121,Low,0,22.12
FKID005787,others,Non-corridor,J.P. Nagar,12.9160567,77.5855433,False,True,False,0.3822,0.0152,0.9036,0.0862,0.121,Low,0,2735.97
FKID005788,vehicle_breakdown,Hosur Road,Electronic City,12.8701554,77.6532595,False,True,False,0.0365,0.0152,0.9036,0.0429,0.057,High,0,88.4
FKID005201,vehicle_breakdown,ORR North 2,Jalahalli,13.0395867,77.5433917,False,True,False,0.0288,0.0241,0.9036,0.0429,0.0426,High,0,10.68
FKID005789,vehicle_breakdown,Non-corridor,Ashok Nagar,12.9663399,77.6242556,False,True,False,0.3822,0.0209,0.9036,0.0429,0.121,Low,0,0.0
FKID005790,vehicle_breakdown,Non-corridor,Halasur,12.9666049,77.6242042,False,True,False,0.3822,0.0144,0.9036,0.0429,0.121,Low,0,0.0
FKID004414,accident,Non-corridor,Devanahalli Airport,13.2005963,77.6609968,False,True,False,0.3822,0.0045,0.0004,0.0301,0.121,Low,0,0.0
FKID005776,vehicle_breakdown,Mysore Road,Byatarayanapura,12.9560112,77.5463879,False,True,False,0.0909,0.0363,0.9036,0.0429,0.1104,High,0,0.0
FKID005791,vehicle_breakdown,Mysore Road,Halasuru Gate,12.9678267,77.5873567,False,True,False,0.0909,0.0363,0.9036,0.0429,0.1104,High,0,35.17
FKID005792,pot_holes,Non-corridor,Yeshwanthpura,13.0259104,77.5347535,False,True,False,0.3822,0.0343,0.9036,0.0242,0.121,Low,0,3035.51
FKID005793,vehicle_breakdown,Old Madras Road,Cubbon Park,12.9744655,77.6140393,False,True,False,0.0322,0.0259,0.9036,0.0429,0.0456,High,0,0.0
FKID005794,pot_holes,ORR North 1,K.G. Halli,13.0415969,77.6126947,False,True,False,0.0336,0.0091,0.9036,0.0242,0.08,High,0,0.0
FKID005795,pot_holes,Bannerghata Road,Mico Layout,12.8997318,77.6008541,False,True,False,0.0256,0.0142,0.9036,0.0242,0.0335,High,0,4295.29
FKID004417,vehicle_breakdown,Bellary Road 1,Hebbala,13.0296745,77.5871846,False,False,False,0.0746,0.0165,0.9036,0.0429,0.0541,High,0,0.0
FKID005796,pot_holes,IRR(Thanisandra road),Adugodi,12.927551,77.6213711,False,False,False,0.0116,0.0147,0.9036,0.0242,0.0632,High,0,0.0
FKID005797,pot_holes,IRR(Thanisandra road),Adugodi,12.927554,77.6214074,False,False,False,0.0116,0.0147,0.9036,0.0242,0.0632,High,0,0.0
FKID005798,pot_holes,IRR(Thanisandra road),Adugodi,12.9275828,77.6213546,False,False,False,0.0116,0.0147,0.9036,0.0242,0.0632,High,0,0.0
FKID005799,pot_holes,IRR(Thanisandra road),Adugodi,12.9275515,77.6214344,False,False,False,0.0116,0.0147,0.9036,0.0242,0.0632,High,0,0.0
FKID005800,vehicle_breakdown,Hosur Road,Madiwala,12.9076761,77.6279048,False,False,False,0.0365,0.0225,0.9036,0.0429,0.057,High,0,0.0
FKID004420,water_logging,Non-corridor,Shivajinagar,12.984023,77.6037669,False,False,False,0.3822,0.0114,0.9036,0.0852,0.121,Low,0,0.0
FKID005801,vehicle_breakdown,Mysore Road,Ashok Nagar,12.9661294,77.606825,False,False,True,0.0909,0.0209,0.9036,0.0429,0.1104,High,1,0.0
FKID005802,road_conditions,IRR(Thanisandra road),Adugodi,12.9275393,77.6213229,False,False,True,0.0116,0.0147,0.9036,0.1235,0.0632,High,0,0.0
FKID004423,vehicle_breakdown,Hosur Road,Hulimavu,12.883647,77.6428944,False,False,True,0.0365,0.0143,0.9036,0.0429,0.057,High,0,0.0
FKID005807,vehicle_breakdown,Non-corridor,Malleshwaram,13.0087048,77.5691774,True,False,True,0.3822,0.0098,0.9036,0.0429,0.121,Low,0,71.17
FKID005808,accident,Mysore Road,Halasuru Gate,12.9664091,77.587021,True,False,True,0.0909,0.0363,0.9036,0.0301,0.1104,High,0,0.0
FKID004129,vehicle_breakdown,Non-corridor,Devanahalli Airport,13.2288007,77.6897352,True,False,True,0.3822,0.0045,0.0007,0.0429,0.121,Low,0,0.0
FKID005809,vehicle_breakdown,Mysore Road,Halasuru Gate,12.9644682,77.586015,True,False,True,0.0909,0.0363,0.9036,0.0429,0.1104,High,0,43.43
FKID005810,vehicle_breakdown,Tumkur Road,Peenya,13.0349817,77.5292713,True,False,True,0.056,0.0218,0.9036,0.0429,0.0262,High,0,0.0
FKID005811,others,Non-corridor,Electronic City,12.8461033,77.6589267,True,False,True,0.3822,0.0152,0.9036,0.0862,0.121,Low,0,31.15
FKID005202,vehicle_breakdown,Non-corridor,K.R. Pura,13.0198716,77.7091574,True,False,True,0.3822,0.0279,0.9036,0.0429,0.121,Low,1,159.29
FKID005812,vehicle_breakdown,ORR North 1,Banaswadi,13.0262013,77.6363894,True,False,True,0.0336,0.03,0.9036,0.0429,0.08,High,0,91.35
FKID005813,vehicle_breakdown,Non-corridor,Upparpet,12.9734483,77.5813283,True,False,True,0.3822,0.0077,0.9036,0.0429,0.121,Low,0,50.23
FKID005803,vehicle_breakdown,Bannerghata Road,Mico Layout,12.9043166,77.6017758,True,False,True,0.0256,0.0142,0.9036,0.0429,0.0335,High,0,0.0
FKID005804,water_logging,Magadi Road,Kamakshipalya,12.9884181,77.5108157,True,False,True,0.03,0.0274,0.9036,0.0852,0.0408,High,0,0.0
FKID005814,vehicle_breakdown,Tumkur Road,Yeshwanthpura,13.0171019,77.5568573,True,False,True,0.056,0.0343,0.9036,0.0429,0.0262,High,0,30.35
FKID005815,vehicle_breakdown,Bannerghata Road,J.P. Nagar,12.876905,77.5950298,True,False,True,0.0256,0.0152,0.9036,0.0429,0.0335,High,0,0.0
FKID000002,others,Non-corridor,Wilson Garden,12.955622,77.5857083,True,False,False,0.3822,0.0128,0.9036,0.0862,0.121,Low,0,115118.0
FKID005816,vehicle_breakdown,Old Madras Road,Banaswadi,12.9907,77.6559808,True,False,False,0.0322,0.03,0.9036,0.0429,0.0456,High,0,0.0
FKID005817,vehicle_breakdown,Old Madras Road,Banaswadi,12.9907017,77.6560017,True,False,False,0.0322,0.03,0.9036,0.0429,0.0456,High,0,0.0
FKID005818,vehicle_breakdown,ORR West 1,K.S. Layout,12.9063875,77.5728996,True,False,False,0.0206,0.0109,0.9036,0.0429,0.0298,High,0,0.0
FKID004432,vehicle_breakdown,Bellary Road 2,Yelahanka,13.1087122,77.6040177,True,False,False,0.0464,0.0461,0.9036,0.0429,0.0317,High,0,0.0
FKID004431,water_logging,Non-corridor,Kamakshipalya,12.9854293,77.4793796,True,True,False,0.3822,0.0274,0.9036,0.0852,0.121,Low,1,0.0
FKID005819,vehicle_breakdown,Bellary Road 2,Yelahanka,13.0955104,77.5974436,True,True,False,0.0464,0.0461,0.9036,0.0429,0.0317,High,0,0.0
FKID004433,vehicle_breakdown,ORR North 2,Yeshwanthpura,13.0361679,77.5416999,True,False,False,0.0288,0.0343,0.9036,0.0429,0.0426,High,1,47.19
FKID005820,vehicle_breakdown,Bellary Road 2,Yelahanka,13.0740531,77.5925701,True,False,False,0.0464,0.0461,0.9036,0.0429,0.0317,High,0,0.0
FKID004436,vehicle_breakdown,ORR North 2,Jalahalli,13.04158,77.5469183,True,False,False,0.0288,0.0241,0.9036,0.0429,0.0426,High,0,0.0
FKID005821,vehicle_breakdown,Non-corridor,Cubbon Park,12.9761908,77.5872317,True,True,False,0.3822,0.0259,0.9036,0.0429,0.121,Low,0,0.0
FKID005822,vehicle_breakdown,Non-corridor,Cubbon Park,12.9761698,77.5872674,True,True,False,0.3822,0.0259,0.9036,0.0429,0.121,Low,0,0.0
FKID005833,construction,Non-corridor,Sheshadripuram,12.9817242,77.5700018,True,True,False,0.3822,0.015,0.9036,0.2646,0.121,Low,1,960.0
FKID005823,vehicle_breakdown,Mysore Road,Halasuru Gate,12.9636427,77.5841997,True,True,False,0.0909,0.0363,0.9036,0.0429,0.1104,High,0,99.42
FKID005824,pot_holes,IRR(Thanisandra road),Adugodi,12.927557,77.6213736,True,True,False,0.0116,0.0147,0.9036,0.0242,0.0632,High,0,0.0
FKID005825,vehicle_breakdown,Non-corridor,Devanahalli Airport,13.2645011,77.7187932,True,True,False,0.3822,0.0045,0.0007,0.0429,0.121,Low,0,107.32
FKID004447,vehicle_breakdown,Varthur Road,HAL Old Airport,12.9563113,77.7058354,True,True,False,0.0094,0.0442,0.9036,0.0429,0.1169,High,0,0.0
FKID005826,vehicle_breakdown,Bellary Road 2,Yelahanka,13.0730221,77.5927079,True,True,False,0.0464,0.0461,0.9036,0.0429,0.0317,High,0,0.0
FKID005203,vehicle_breakdown,Bellary Road 1,Hebbala,13.03656,77.5894167,True,True,False,0.0746,0.0165,0.9036,0.0429,0.0541,High,0,0.0
FKID004440,vehicle_breakdown,Bellary Road 1,Kodigehalli,13.0365267,77.589335,True,True,False,0.0746,0.0333,0.9036,0.0429,0.0541,High,0,84.78
